label,text
1,says the annies list political group supports third trimester abortions on demand
0,when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration
0,hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran
1,health care reform legislation is likely to mandate free sex change surgeries
0,the economic turnaround started at the end of my term
0,the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured uw faculty fired during the last two decades
0,jim dunnam has not lived in the district he represents for years now
0,i m the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate
0,however it took 19 5 million in oregon lottery funds for the port of newport to eventually land the new noaa marine operations center pacific
0,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost 788 million in higher electricity costs
0,for the first time in history the share of the national popular vote margin is smaller than the latino vote margin
0,since 2000 nearly 12 million americans have slipped out of the middle class and into poverty
1,when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it
0,the economy bled 24 billion due to the government shutdown
0,most of the affordable care act has already in some sense been waived or otherwise suspended
0,in this last election in november 63 percent of the american people chose not to vote 80 percent of young people and 75 percent of low income workers chose not to vote
0,mccain opposed a requirement that the government buy american made motorcycles and he said all buy american provisions were quote disgraceful
0,u s rep ron kind d wis and his fellow democrats went on a spending spree and now their credit card is maxed out
0,water rates in manila philippines were raised up to 845 percent when a subsidiary of the world bank became a partial owner
0,almost 100 000 people left puerto rico last year
1,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor
0,the united states has the highest corporate tax rate in the free world
0,we just had the best year for the auto industry in america in history
0,says scott walker favors cutting up to 350 000 families and children off health care
0,says mitt romney wants to get rid of planned parenthood
1,i dont know who jonathan gruber is
0,hate crimes against american muslims and mosques have tripled after paris and san bernardino
0,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections
1,isis supporter tweeted at 10 34 a m shooting began at 10 45 a m in chattanooga tenn
0,youth unemployment in minority communities is about 40 to 45 percent
0,says paul ryan is still endorsing trump
0,if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates
1,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants
0,we cut business taxes so today 70 percent of our businesses dont pay a business tax
0,says mark pryor votes with obama 93 percent of the time
0,we have a federal government that thinks they have the authority to regulate our toilet seats
0,austin is a city that has basically doubled in size every 25 years or so since it was founded
0,the nuclear test conducted in our nation this time is the earth s 2 054th nuclear test the five permanent members of the u n security council have conducted 99 99 percent of the total nuclear tests
1,in the case of a catastrophic event the atlanta area offices of the centers for disease control and prevention will self destruct
0,under president george w bush we added 4 9 trillion to the debt under president obama weve added 6 5 trillion to the debt
1,says a u s supreme court justice suggested that some u s cases will be decided based on south african law
0,says marco rubio skipped 18 defense votes including one to arm the kurds to fight isis
1,rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company
1,says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe
1,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man made disaster
0,african american youth unemployment is 51 percent hispanic youth unemployment is 36 percent
1,obamacare will provide insurance to all non u s residents even if they are here illegally
1,president barack obama took exactly none of his own deficit reduction commissions ideas not one
1,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life
0,hillary clinton in 2005 co sponsored legislation that would jail flag burners
0,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country
0,maggie hassan raised tuition making it the highest in america
1,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom
0,we created 800 000 new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history
0,we have towns in west texas that are out of water that are having to truck in water
0,in georgia women earn 82 cents for every dollar earned by men
0,a federal system that verifies employees are authorized to work in the u s is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time
0,they were going to build the wall a while ago not so long ago like in 06 and they couldnt get environmental impact statements
1,sen obama s campaign announced that he s choosing his cabinet
0,in 2008 only 54 percent of latinos in texas were registered to vote and only 35 percent actually turned out
1,only 2 percent of public high schools in the country offer pe classes
0,said he s the only republican candidate who s actually turned around a government economy
0,on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong
0,there are 321 092 public school teachers in texas and there are 313 850 non teachers in our public schools
1,under mayor cicilline providence was a sanctuary city
1,transgender individuals in the u s have a 1 in 12 chance of being murdered
0,at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised
1,says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts
0,u s rep phil gingrey gave the government the power to electronically spy on americans without a warrant
0,alex sink funneled three quarters of a million dollars in no bid contracts to bank of america
0,if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor
0,under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate
0,the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person
0,the only time in our history when the debt has been higher than this was the end of world war ii
0,the cost of health care is now the single biggest factor driving down the federal budget deficit
0,during the recession the consumer in his native perversity has begun to save the savings rate is now 6 2 percent
1,on whether a u s supreme court nominee should be forthcoming at confirmation hearings
0,says one out of three u s homeless men is a veteran
1,says charlie crist supports cuts to the medicare advantage program
0,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together forget the united states
0,says scott brown co sponsored legislation to let employers deny women coverage for birth control
0,at some point in their lives 99 of women use birth control
1,in the past 20 years egypt has made great strides in political and democratic reform
1,the amount of attention paid this week to chris christie makes the coverage of benghazi pale in significance
0,says u s rep steve southerland voted to keep the shutdown going
0,in rick perrys texas we import nurses from other countries
0,there is a federal criminal law that says its a crime to transport dentures across state lines
0,we built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders
0,sen mccain s tax plan provides virtually nothing to the middle class
1,austin is burdened by the fastest growing tax increases of any major city in the nation
1,phoenix arizona is the no 2 kidnapping capital of the world
0,i belong to the afl cio
0,the insurance commissioner cant do squat about health care
0,says a poll found him the only republican candidate who could beat barack obama in texas and by eight points
0,president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon
0,says david jolly supports privatizing social security
0,did you know us population growth is at its lowest since the great depression
0,the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones
0,since 1968 more americans have died from gunfire than died in all the wars of this countrys history
0,a foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender
1,the florida department of agricultures website freshfromflorida com can be used to get a permit to carry a loaded hidden gun without ever leaving your house
1,the atlanta streetcar is expected to create 930 jobs during construction totaling more than 5 600 jobs over the next 20 years
0,raising the minimum wage to 10 10 an hour would help lift over a million americans out of poverty
0,says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism
1,nato is opening up a major terror division im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato
0,sen obama has always had a 100 percent prochoice rating
0,since gina raimondo took office investment fees on the states pension portfolio have gone up from about 12 million annually to about 50 million
0,the federal debt is growing by more than 4 billion a day
0,under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers
1,of our 98 000 teachers who are k 12 over 53 000 of those teachers today are over 50 years old
0,two thirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions
0,under president obamas health care reforms the premium for an average plan for a family didnt go down by 2 500 per year its gone up about 2 500 per year
0,the irs also investigated liberal groups groups that had progressive in their name the irs was basically looking at everybody
0,says obama promised unemployment would never go above 8 percent
0,the economy is creating jobs at the fastest pace since 1999
0,president obama decided not to meet with prime minister benjamin netanyahu in new york
0,in a majority of states you can now marry freely but can still be fired for who you love
1,say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the u s congress
1,rudy giuliani is probably the most underqualified man since george bush to seek the presidency
1,about half of the presidents have been governors half of them senators
0,after britains vote to leave the european union within 24 hours americans lost 100 billion from our 401 k s
0,medicaid spending declined by 1 9 percent in 2012 the second such decline in 47 years
0,says 88 texas constables have died in the line of duty
0,gov rick scott cut the cost of prepaid college tuition by nearly 20 000
0,the city of columbus would save 41 million a year if employees had to contribute to their own guaranteed check pensions
0,as florida s cfo i shut down krakow s scam and refunded more than 1 2 million to josephine and other victims of this con man
0,you had more women getting computer sciences degrees in the 80s by a factor of 2 plus than you do now
1,the air force wants taxpayers to fund a fantasy football league
1,barack hussein obama will force courts to accept islamic sharia law in domestic disputes
0,about 3 percent of murders and crimes are committed with guns from people who actually legally purchase those guns
0,some neighborhood schools are closing
0,he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy
0,the years that i was speaker the florida house consistently offered leaner budgets than the governor offered
0,we are already almost halfway to our 2010 goal of creating 700 000 new jobs in seven years
0,says the u s supreme court found that social security is not guaranteed
1,saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado
0,oregonians have an amazing no cost way to fight abortion with free political donations
1,the president said hes going to bring in 250 000 syrian and iraqi refugees into this country
0,research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support
0,newt gingrichs immigration plan offers a new doorway to amnesty
1,mr caprio is a career politician who has never worked in the private sector
